City,Carbon(kT),Normalized Total installed solar PV (MW DC),Tree Cover(% of total),Building Cover(% of total),Water Cover(% of total),Commute by public transportation,Commute by car/ truck/van,Workers,Work out-of-state,Work at home,Work in-state,Bridge area (square meters),"Bridge area, poor (square meters)","Bridge area, good (square meters)","Bridge area, fair (square meters)","Bridges, good",Total bridges,"Bridges, poor","Bridges, fair",Trips greater than or equal to 500 miles,Trips 1-3 miles,Trips 3-5 miles,Trips 100-250 miles,Trips 50-100 miles,Trips 250-500 miles,Trips 5-10 miles,Total trips,Trips 10-25 miles,Trips 25-50 miles,Trips less than 1 mile,Workers wo/ a vehicle,Population,Hispanic,Non Hispanic White Alone,Median Household Income
Los Angeles,153104.6576912776,0.00012123927691471853,0.013145450741796568,0.9852525212599503,0.0016020279982531219,98.0,3548.0,2415.0,1035.0,279730.0,4016706.0,4792788.0,4811408.0,18620.0,268685.0,6455088.54,1458241.11,4752822.39,244025.04,2373518826.0,3994826707.0,12652454.0,2190790698.0,609941960.0,1864164424.0,16370840.0,140859915.0,3888934606.0,49571344.0,15141631774.0,10081570.0,185537.0,68044.0,2641770.0,4888434.0
San Diego,26564.854469241902,0.00029480159553877484,0.009278610964378401,0.9886461692919972,0.0020752197436242356,1489578.61,2589745.21,88281.09,1011885.51,1380466.0,48043.0,1627544.0,1616611.0,113532.0,10933.0,1020.0,1613.0,535.0,58.0,13413177.0,213784349.0,5228777904.0,1323328999.0,4158093.0,34203925.0,8531205.0,1218170316.0,828660856.0,1004843016.0,579683968.0,34924.0,3316073.0,1117517.0,1510756.0,78980.0
Phoenix,49328.2629187571,0.00016406950186475467,0.06437768240343349,0.9287553648068669,0.0068669527896995704,5.0,2706.0,872.0,1829.0,1920597.57,1306456.43,3230669.19,3615.19,40675.0,1775546.0,2040912.0,2018396.0,22516.0,143290.0,1561072977.0,968613311.0,8284681.0,1556274379.0,775759852.0,1022916406.0,6206326784.0,38417279.0,235531499.0,29195199.0,10261201.0,4328810.0,54441.0,64468.0,2391279.0,1341560.0
San Antonio,22539.33315969967,0.00016607787457912732,0.025418678109541685,0.9745813218904583,0.0,1530585.95,8121.57,1407733.73,2946441.25,817630.0,908944.0,22112.0,905691.0,3253.0,39185.0,2260.0,1276.0,980.0,4.0,528723443.0,295200122.0,2793194.0,11272440.0,1778201.0,100711011.0,597790411.0,622058336.0,2648596249.0,24458160.0,463810931.0,1952843.0,25876.0,1175975.0,540436.0,57157.0
New York,133089.50324828216,2.914482015652809e-05,0.023423054172508073,0.9560555744446981,0.020521371382793908,2229452.0,3980598.0,1063173.0,171696.0,107992.0,3872606.0,4118431.93,696128.44,735179.39,2687124.0999999996,1456.0,411.0,943.0,102.0,2079087734.0,35543615.0,22417382.0,13078244359.0,4415619110.0,1685896747.0,179473881.0,3271192035.0,1313785251.0,67806708.0,7421896.0,1789001.0,8419316.0,2702286.0,2447862.0,338321.0
Albuquerque,7360.602829775044,0.000273179369459746,0.012516220565081235,0.9872450127169231,0.00023876671799574376,285252.0,5420.0,317562.0,315455.0,2107.0,14820.0,6007.22,531273.96,345721.8,179544.94,493.0,8.0,334.0,151.0,7103.0,244188449.0,292906252.0,1183870895.0,19880803.0,132962825.0,15063024.0,308414041.0,161500710.0,1119900.0,6322260.0,1512631.0,677858.0,53329.0,262184.0,338856.0
Las Vegas,31070.752016168135,0.0001641060802551486,3.102976141992188e-05,0.9999418191973376,2.7151041242431648e-05,4.0,5.0,20.0,11.0,800.54,523.34,1603.8,279.92,0.0,1691.0,1315.0,2.0,1689.0,258.0,90362.0,515803.0,691420.0,1966512.0,16637.0,395681.0,18620.0,104979.0,1220164.0,1140786.0,6160964.0,3685.0,39.0,48980.0,3449.0,120.0
Denver,32841.39226658378,0.00014594719829390975,0.0006966398151699932,0.987403164861135,0.011900195323695012,2285.0,893.0,119.0,1273.0,51141.0,1181228.0,961491.0,12719.0,99899.0,1168509.0,1737285.25,866773.2700000001,118931.87000000001,751580.1100000001,578266091.0,36728977.0,3528132.0,563964787.0,3796912813.0,141106661.0,468705521.0,953574064.0,10297019.0,13930216.0,1026811345.0,2213817.0,30895.0,724530.0,1408345.0,503688.0
Jacksonville,11871.301854585707,7.039581187513069e-05,0.06287787182587667,0.9347037484885127,0.0024183796856106408,1.0,42.0,121.0,78.0,3884.0,3.0,4258.0,66.0,227.0,4192.0,20845.71,1319.5,31215.14,9049.93,941644.0,5603895.0,683327.0,2369540.0,147699.0,0.0,1519758.0,3495235.0,15273436.0,503964.0,8374.0,230.0,11268.0,1053.0,10066.0,41186.0
Austin,15409.941426316815,6.413247961636664e-05,0.04231926148739757,0.9370397261694844,0.020641012343117934,20326.0,685311.0,814185.0,73354.0,809735.0,4450.0,1249.0,13.0,1874.0,612.0,933865.5499999999,1406454.52,7002.969999999999,2347323.04,1172434.0,393807088.0,7004242.0,77983165.0,485880034.0,448604649.0,250782385.0,2363434.0,2051912906.0,367092870.0,17222605.0,1507273.0,20621.0,499585.0,775609.0,195338.0
